appCategory,cnt,ratio
스타일,583135,1.3662991141988101
블렛스톰,5204,0.012193095235735477
로우폴리,58215,0.13639912358730608
마작솔리테르,7626,0.01786789859102974
물리학,6367,0.014918031776696346
대포슈팅,1081,0.0025328085991218395
16,1809209,4.239019530812788
방치형,36164,0.08473310839837392
27,1289438,3.0211837691345664
격투,81520,0.19100329047216683
서바이벌,1399,0.003277890129668319
12,249,0.0005834128965599796
10,7527128,17.636239153645487
6,3538570,8.29095330674798
24,3782,0.008861315561404992
30,335,0.0007849129331228643
드럼,22,5.154652098120303e-05
그리기,861,0.0020173433893098092
겨울,110,0.0002577326049060151
블록,708730,1.6605711734094555
벽돌깨기,11927,0.02794524344285493
17,57527,0.134787123294803
러너,14936,0.034995401698874926
13,914845,2.143503499411304
논리,424872,0.9954851573784405
샌드박스,18961,0.04442607201475411
런앤건,157,0.00036785471791131246
수공예,192,0.00044986054674504454
경영,80176,0.18785426664495153
1,363942,0.8527247244973177
버블슈팅,86423,0.20249113557993223
빌드앤배틀,692,0.0016213723872269316
7,3055,0.007157937345344328
IO게임,24084,0.056429382332331524
사격연습,631,0.0014784479426881412
18,1382228,3.238592936491195
직소,251,0.0005880989439219072
네일샵,41,9.606397091951471e-05
29,13264,0.031077866104303492
15,769673,1.8033620655984306
슈팅,7659,0.017945218372501542
슬롯,36,8.434885251469585e-05
사냥,13,3.045930785252906e-05
루미,65,0.0001522965392626453
농구,12183,0.02854505750518166
병합,310962,0.728591329879857
14,450470,1.055461877563751
비대칭배틀아레나,1479,0.003465332024145421
비행,172,0.0004030000731257691
8,3249871,7.614524713077421
3,809674,1.8970853558606626
20,32777,0.07679728719094961
멀티플레이어,1989,0.0046602741014369455
9,3141211,7.359931759903897
경쟁형멀티플레이어,72766,0.17049246116900996
숨은그림찾기,84236,0.19736694278966443
MMORPG,110,0.0002577326049060151
25,134414,0.31493518505306467
19,304404,0.7132257805800967
두뇌게임,27805,0.06514777344919773
22,375917,0.880782433076859
2,13148,0.030806075357311696
슬라이딩,947,0.0022188434258726937
4,582468,1.3647363174036073
솔리테르,61891,0.1450120786385289
골프,57,0.0001335523498149351
3단타일맞추기,529946,1.241676027632028
당구,1514,0.0035473378529791533
23,58790,0.13774636220386025
리얼리티,620675,1.4542562231821903
로그류게임,6273,0.014697787550685754
로고퀴즈,80,0.0001874418944771019
색칠하기,240424,0.5633191254720343
5,539222,1.263409915296648
21,393940,0.9230107488788689
생활,1618,0.003791012315799386
서바이벌호러,5854,0.01371606062836193
돌보기,3976,0.009315862155511966
11,2713,0.006356623246454718
빙고,85,0.00019915701288192078
미니게임,126,0.0002952209838014355
28,82376,0.19300891874307183
리듬액션,2036,0.004770396214442244
디자인,5064,0.01186507192040055
26,1411821,3.307930036281956
탈출,20,4.6860473619275474e-05
미식축구,4,9.372094723855095e-06
기차,13,3.045930785252906e-05
리얼리티스타일,30,7.029071042891321e-05
드래그레이스,18,4.217442625734793e-05
수학,13,3.045930785252906e-05
복싱,13,3.045930785252906e-05
기타,8,1.874418944771019e-05
볼링,3,7.029071042891321e-06
마작,3,7.029071042891321e-06
레슬링,1,2.3430236809637738e-06
4X,2,4.6860473619275475e-06
라스트카드,1,2.3430236809637738e-06
MOBA,1,2.3430236809637738e-06
